dir,gap_abs,band,pos_band,breakout,mom20,tradeable_dn,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmax3,fmax5,fmax10,fmax20,fmax60,fclose_max3,fclose_max5,fclose_max10,fclose_max20,fclose_max60
down,0.012409513960703111,1-2%,,False,,True,0.06701570680628266,0.18848167539267013,0.2853403141361257,0.13507853403141357,0.09569892473118258,0.22043010752688152,0.3198924731182795,0.1655913978494623,19.98,20.64,22.78,24.99,25.31,19.9,20.38,22.7,24.55,24.95
down,0.010752688172043112,1-2%,,False,,True,0.14130434782608714,0.21413043478260874,0.26521739130434807,0.17608695652173934,0.155751238304898,0.22949917446340118,0.2812328013208585,0.19097413318657108,20.1,21.0,22.84,24.99,25.31,19.9,21.0,22.7,24.55,24.95
down,0.014071720381298336,1-2%,,False,,True,0.13029465930018436,0.14180478821362819,-0.012430939226519278,0.05616942909760603,0.09159626500666973,0.10271231658514912,-0.046242774566473965,0.02000889284126295,23.47,24.99,25.31,25.31,25.31,23.08,24.55,24.95,24.95,24.95
down,0.012998266897746857,1-2%,,False,,True,0.07989464442493421,0.06672519754170314,0.006145741878841093,0.02238805970149249,0.07847435335379238,0.0653222270933802,0.0048224462954846725,0.02104340201665944,24.99,25.24,25.31,25.31,25.31,24.55,24.95,24.95,24.95,24.95
down,0.04765784114052962,3-5%,>+10%,False,0.3198924731182795,True,0.0513259195893927,-0.062018819503849465,-0.10821214713430272,0.020530367835757124,0.05584192439862523,-0.0579896907216495,-0.10438144329896903,0.02491408934707895,25.31,25.31,25.31,25.31,25.31,24.95,24.95,24.95,24.95,24.95
down,0.030861723446893752,3-5%,>+10%,False,0.27556237218813906,True,0.00496277915632759,-0.08643507030603803,-0.1203473945409429,-0.02605459057071957,-0.012195121951219523,-0.10203252032520327,-0.1353658536585367,-0.04268292682926833,25.31,25.31,25.31,25.31,25.31,24.93,24.93,24.93,24.93,24.93
down,0.013991769547325061,1-2%,>+10%,False,0.2047595438770451,True,-0.10767946577629395,-0.06761268781302177,-0.14565943238731227,-0.005843071786310494,-0.10356394129979041,-0.06331236897274639,-0.1417190775681343,-0.0012578616352201255,23.8,23.8,23.8,23.8,24.3,22.38,22.38,23.01,23.01,24.05
down,0.02218198279764594,2-3%,-10~0,False,-0.0062977957714800414,True,0.03425925925925921,-0.005555555555555647,-0.02129629629629637,0.14768518518518503,0.04490177736202061,0.00467726847521055,-0.011225444340505097,0.1594948550046773,23.08,23.49,23.49,23.49,25.16,23.01,23.01,23.01,23.01,25.01
down,0.010430247718383412,1-2%,-10~0,False,-0.003032928942807489,True,-0.06587615283267456,-0.04567413263065434,-0.04347826086956519,0.04918752744839705,-0.07198952879581155,-0.05191972076788831,-0.04973821989528793,0.042321116928446756,22.98,22.98,22.98,22.98,25.16,22.34,22.34,22.34,22.34,25.01
down,0.011352418558736477,1-2%,-10~0,False,-0.06764841233317986,True,0.14528207688467298,0.1732401397903145,0.18921617573639526,0.06540189715426847,0.08463356973995295,0.11111111111111116,0.12624113475177312,0.00898345153664315,23.23,24.23,24.23,24.3,25.16,23.01,23.29,23.59,24.05,25.01
down,0.010173802458668835,1-2%,0~+10%,False,0.07178555202180825,True,0.008565310492505418,0.010706638115631772,0.023126338329764407,-0.23083511777301924,0.011163589523400574,0.013310433662516274,0.025762129669385958,-0.22885358522971222,24.3,24.3,24.3,25.16,25.16,24.05,24.05,24.05,25.01,25.01
down,0.010058675607711565,1-2%,>+10%,False,0.10258780036968562,True,0.011854360711261558,0.041490262489415786,0.03852667231160045,-0.24597798475867916,0.015724606884827796,0.04547386315342128,0.042498937526561864,-0.24309392265193375,23.64,24.11,24.73,25.16,25.16,23.55,23.9,24.6,25.01,25.01
down,0.010199745006374883,1-2%,0~+10%,False,0.09137291280148441,True,0.013310433662516274,0.07385143838557329,0.058394160583941535,-0.24087591240875916,0.002123142250530785,0.061995753715498925,0.04670912951167727,-0.24925690021231428,23.82,24.13,25.12,25.16,25.16,23.6,23.9,25.01,25.01,25.01
down,0.010318142734307867,1-2%,-10~0,False,-0.026778242677824138,True,0.0026064291920069316,0.007819287576020795,-0.06081668114682881,-0.17463075586446564,-0.0008658008658010141,0.0043290043290042934,-0.06406926406926405,-0.17748917748917759,23.28,23.41,23.6,23.6,23.6,22.97,23.14,23.36,23.36,23.36
down,0.020689655172413834,2-3%,-10~0,False,-0.02888237756383427,True,-0.06382042253521125,-0.06073943661971826,-0.2213908450704224,-0.20906690140845074,-0.024759284731774356,-0.02154974782209995,-0.18890417239798252,-0.1760660247592848,23.05,23.05,23.05,23.05,23.05,22.78,22.78,22.78,22.78,22.78
down,0.018190757128810242,1-2%,-10~0,False,-0.001962708537782132,True,-0.07911867801702543,-0.09664496745117679,-0.07210816224336491,-0.10465698547821733,-0.053038105046343986,-0.07106076210092704,-0.045829042224510785,-0.07929969104016488,20.05,20.05,20.05,20.99,20.99,19.36,19.36,19.36,20.57,20.57
down,0.017977528089887618,1-2%,-10~0,False,-0.005030743432084983,True,0.10011441647597263,0.1167048054919908,0.06636155606407312,0.0097254004576659,0.07550335570469802,0.09172259507829983,0.04250559284116351,-0.012863534675615185,18.78,19.56,20.99,20.99,20.99,18.45,19.24,20.57,20.57,20.57
down,0.010209042294603843,1-2%,0~+10%,False,0.03418803418803407,True,-0.1168958742632612,-0.1085461689587427,-0.055009823182711304,-0.13801571709233784,-0.11034141514101936,-0.10192973775358749,-0.0479960415635825,-0.13161801088570013,20.99,20.99,20.99,20.99,20.99,19.52,19.52,19.52,19.66,20.12
