dir,gap_abs,band,pos_band,breakout,mom20,tradeable_up,ret_open5,ret_open10,ret_open20,ret_open60,ret_close5,ret_close10,ret_close20,ret_close60,fmin3,fmin5,fmin10,fmin20,fmin60,fclose_min3,fclose_min5,fclose_min10,fclose_min20,fclose_min60
up,0.041150223103619155,3-5%,,False,,True,0.04904761904761901,0.09952380952380957,0.13571428571428568,0.0071428571428571175,0.04904761904761901,0.09952380952380957,0.13571428571428568,0.0071428571428571175,21.2,21.2,21.2,21.2,19.81,22.34,22.03,22.03,22.03,20.26
up,0.015503875968992276,1-2%,-10~0,False,-0.018352730528200523,True,0.03322855859901219,-0.08396946564885499,-0.07813201616524468,0.10462505612932205,0.03835740072202176,-0.07942238267148016,-0.0735559566787003,0.11010830324909748,21.18,21.18,20.28,20.28,19.81,21.38,21.38,20.4,20.4,20.26
up,0.010830324909747224,1-2%,-10~0,False,-0.013796172674677254,True,0.023214285714285854,-0.05044642857142856,-0.07366071428571419,0.11651785714285734,0.037573562698053564,-0.03712086917157087,-0.06066093254866456,0.1321865097329109,21.18,21.18,20.28,20.28,19.81,21.38,21.38,20.4,20.4,20.26
up,0.028123559243891094,2-3%,0~+10%,False,0.006496519721577831,True,0.047085201793722,0.06995515695067267,0.05291479820627809,-0.07623318385650224,0.014776184267709658,0.03694046066927403,0.02042590178183401,-0.10473707083876571,22.78,22.78,22.78,22.6,20.41,22.94,22.94,22.94,22.94,20.6
up,0.014795474325500324,1-2%,>+10%,False,0.11933755479785679,True,-0.0012864493996569415,0.009862778730703292,0.07246998284734141,-0.12607204116638082,0.0,0.011163589523400574,0.07385143838557329,-0.12494632889652213,22.78,22.78,22.78,22.6,20.2,22.94,22.94,22.94,22.94,20.38
up,0.02490339201373981,2-3%,>+10%,False,0.12240963855421683,True,-0.015500628403854244,-0.03351487222454963,0.038542103058232025,-0.1579388353581902,0.02441150828247607,0.005666957279860441,0.08064516129032251,-0.1238012205754141,22.78,22.78,22.78,22.6,20.0,22.94,22.94,22.94,22.94,20.1
up,0.01525719267654746,1-2%,0~+10%,False,0.06747324336900906,True,0.024474023185916627,0.013310433662516274,0.03907256333190201,-0.23744096178617424,0.021841541755888594,0.010706638115631772,0.03640256959314758,-0.23940042826552466,23.01,23.01,22.6,22.6,17.6,23.29,23.29,23.07,23.07,17.76
up,0.010921799912625652,1-2%,>+10%,False,0.11449275362318856,True,0.015125324114088068,0.05877268798617119,0.009939498703543714,-0.17631806395851346,0.007289879931389187,0.05060034305317318,0.002144082332761643,-0.18267581475128647,22.95,22.95,22.95,22.95,17.18,23.6,23.49,23.48,23.37,17.68
up,0.010593220338983134,1-2%,>+10%,False,0.14175133043057575,True,0.03144654088050314,0.002935010482180367,-0.024737945492662505,-0.16939203354297705,0.029288702928870425,0.0008368200836821327,-0.026778242677824138,-0.1711297071129707,23.03,23.03,23.03,22.8,17.18,23.49,23.48,23.48,23.22,17.68
up,0.010199556541020005,1-2%,-10~0,False,-0.08071748878923768,True,-0.050921861281826186,-0.10535557506584736,-0.22388059701492546,-0.1483757682177349,0.005113900511390046,-0.052533705253370644,-0.1780567178056719,-0.09809390980939114,20.54,20.41,20.2,17.18,17.01,21.12,20.76,20.38,17.68,17.35
up,0.010813352139163124,1-2%,<=-10%,False,-0.12107438016528926,True,-0.013488372093023226,-0.12558139534883717,-0.11348837209302332,-0.08930232558139539,0.0023629489603025355,-0.11153119092627595,-0.09924385633270327,-0.0746691871455577,20.41,20.41,18.43,17.18,17.01,20.76,20.76,18.8,17.68,17.35
up,0.013177901672579706,1-2%,-10~0,False,-0.06581439393939392,True,0.031515757878939565,-0.041520760380190036,-0.03801900950475223,-0.08604302151075538,0.04088844018172644,-0.03281171125694082,-0.02927814235234727,-0.07773851590106007,19.5,19.5,18.7,17.01,17.01,19.89,19.67,19.16,17.72,17.35
up,0.010055304172951196,1-2%,-10~0,False,-0.06794751640112462,True,-0.03932304629168737,-0.11796913887506222,0.0059731209556994624,-0.09855649576903935,-0.032581453634085156,-0.11177944862155387,0.013032581453634062,-0.09223057644110277,19.55,18.7,17.55,17.01,17.01,19.67,19.3,17.72,17.72,17.35
up,0.013385387618516598,1-2%,0~+10%,False,0.007303370786516883,True,0.08200330214639506,0.10291689598238851,-0.029168959823885565,-0.0930104567969181,0.054721030042918395,0.07510729613733891,-0.05364806866952787,-0.11587982832618027,19.0,18.89,18.89,17.57,16.4,19.35,19.21,19.21,17.64,16.48
up,0.0193133047210301,1-2%,0~+10%,False,0.04250559284116351,True,0.015263157894736867,0.05894736842105264,-0.08315789473684199,-0.12315789473684213,-0.005670103092783485,0.03711340206185576,-0.10206185567010295,-0.1412371134020618,18.89,18.89,18.89,17.36,16.18,19.21,19.21,19.21,17.42,16.48
up,0.01455301455301461,1-2%,-10~0,False,-0.0479960415635825,True,0.010245901639344135,-0.08452868852459006,-0.08811475409836056,-0.163422131147541,-0.014000000000000012,-0.10649999999999993,-0.10999999999999999,-0.1835000000000001,19.5,19.37,17.8,17.16,16.18,20.04,19.72,17.87,17.4,16.33
up,0.011331444759206999,1-2%,0~+10%,False,0.0005668934240361523,True,0.0235294117647058,-0.01848739495798335,-0.06666666666666676,-0.1983193277310925,0.009392265193369997,-0.03204419889502774,-0.07955801104972382,-0.20939226519337018,18.15,18.15,17.4,16.18,14.25,18.46,18.27,17.52,16.48,14.31
up,0.011049723756906049,1-2%,0~+10%,False,0.03903559127439715,True,-0.039344262295082144,-0.03879781420765027,-0.06284153005464488,-0.24371584699453552,-0.047670639219935085,-0.04712892741061758,-0.07096424702058513,-0.2502708559046588,18.16,17.52,17.4,16.18,13.22,18.38,17.58,17.52,16.48,13.84
up,0.012002526847757489,1-2%,-10~0,False,-0.05885850178359098,True,0.03495630461922583,0.030586766541822907,-0.08114856429463169,-0.09176029962546806,0.011592434411226149,0.007321537522879895,-0.10189139719341056,-0.11226357535082365,16.26,16.26,16.1,14.66,13.22,16.83,16.58,16.28,14.72,13.68
up,0.024566473988439252,2-3%,<=-10%,False,-0.17912218268090152,True,0.019040902679830607,0.07193229901269382,0.13187588152327234,0.009873060648801113,-0.00823610157858623,0.043239533287577236,0.10157858613589577,-0.017158544955387822,13.6,13.51,13.51,13.51,13.51,13.68,13.68,13.68,13.68,13.68
up,0.013157894736842035,1-2%,<=-10%,False,-0.15970515970515975,True,0.08225108225108224,0.0974025974025976,0.18470418470418482,0.0418470418470418,0.048218029350104885,0.06289308176100628,0.14744933612858158,0.009084556254367548,14.14,14.14,14.14,14.14,13.64,14.45,14.45,14.45,14.45,13.91
up,0.024458420684835724,2-3%,<=-10%,False,-0.12797074954296161,True,0.03683492496589347,0.049113233287858105,0.08458390177353348,-0.014324693042292003,0.05190311418685112,0.0643598615916956,0.10034602076124566,0.0,14.14,14.14,14.14,14.14,13.64,14.59,14.59,14.59,14.59,13.91
up,0.012261580381471404,1-2%,-10~0,False,-0.07788944723618096,True,0.1036339165545086,0.10497981157469738,0.030955585464333746,0.008075370121130687,0.0782380013149242,0.07955292570677197,0.007232084155160967,-0.015121630506245931,15.06,15.06,15.06,14.45,13.64,15.38,15.38,15.38,14.73,13.91
up,0.012658227848101111,1-2%,0~+10%,False,0.09040717736369919,True,-0.011874999999999969,-0.021874999999999978,-0.08062499999999995,-0.12687499999999996,-0.014339152119700715,-0.0243142144638403,-0.08291770573566071,-0.12905236907730666,15.62,15.62,14.45,14.11,13.64,15.81,15.81,14.73,14.38,13.91
